2021 Am Law 200 Rank (FY:2020),2020 Am Law 200 Rank (FY:2019),Firm Name,Gross Revenue,Revenue per Lawyer,2021 Rank By  RPL (FY:2020),Net  Operating Income,Profits Per Equity Partner,"Rank by PPP (FY:2020)
",Profitability Index,Rank By API (FY:2020),"Compensation Average, All Partners",Rank By CAP (FY:2020),Compensation of Non-Equity Partners,Rank By  VPL (FY:2020),CAP divided by number of Lawyers (VPL) (FY:2020),Lawyers Needed to Generate $10 Million (FY:2020),Number of Lawyers,Number of Equity Partners,Number of Non-Equity Partners,Total Partners,Leverage,Profit Margin,Profits Per Lawyer,Rank by PPL,Source,Notes
48,46,Foley & Lardner,922354000,920000,76,242868000,1577000,76,1.71,75,996000,78,217766000,77,459000,21.79,1003,154,309,463,5.51,26,242000,144,"The American Lawyer, May 18, 2021",
49,,Troutman Pepper,918010000,821000,103,361589000,1246000,99,1.52,97,925000,85,86379000,103,401000,24.94,1118,290,194,484,2.85,39,323000,89,"The American Lawyer, May 18, 2021","Troutman Sanders merged with Pepper Hamilton on Jul. 1, 2020 to become Troutman Pepper. Because this formed a new firm, references to 2019 are listed as N/A."
50,54,"Sheppard, Mullin, Richter & Hampton",867416000,1081000,60,304534000,2001000,54,1.85,61,1252000,63,158458000,45,577000,17.33,802,152,218,370,4.27,35,380000,70,"The American Lawyer, May 18, 2021",
51,42,Shearman & Sterling,861026000,1034000,66,236008000,1897000,61,1.83,64,1423000,52,65894000,128,362000,27.62,833,124,88,212,5.7,27,283000,120,"The American Lawyer, May 18, 2021",
52,48,Bryan Cave Leighton Paisner,860083000,628000,156,220782000,837000,143,1.33,114,611000,140,102163000,186,236000,42.37,1370,264,265,528,4.2,26,161000,187,"The American Lawyer, May 18, 2021",
53,51,Alston & Bird,851601000,1094000,59,368796000,2434000,44,2.22,39,1375000,55,121524000,39,630000,15.87,779,152,205,357,4.14,43,474000,46,"The American Lawyer, May 18, 2021",
54,52,O'Melveny & Myers,835097000,1245000,37,407630000,2456000,43,1.97,52,2368000,27,13836000,40,628000,15.92,671,166,12,178,3.04,49,607000,30,"The American Lawyer, May 18, 2021",
55,50,McGuireWoods,831051000,891000,86,325769000,1609000,73,1.81,66,1077000,71,100214000,80,457000,21.88,933,203,193,396,3.61,39,349000,78,"The American Lawyer, May 18, 2021",
56,53,"Cravath, Swaine & Moore",824341000,1591000,13,411840000,4576000,8,2.88,11,4576000,6,0,20,795000,12.58,518,90,0,90,4.76,50,795000,17,"The American Lawyer, May 18, 2021",
57,59,Baker & Hostetler,789429000,869000,93,199999000,1597000,74,1.84,62,896000,94,136983000,122,371000,26.95,909,125,251,376,6.26,25,220000,156,"The American Lawyer, May 18, 2021",
58,61,"Fragomen, Del Rey, Bernsen & Loewy",787305000,1269000,34,194027000,3234000,26,2.55,23,1920000,36,50216000,107,394000,25.38,621,60,67,127,9.34,25,313000,95,"The American Lawyer, May 18, 2021",
59,55,Vinson & Elkins,782352000,1174000,45,358755000,2941000,32,2.51,27,2300000,28,69835000,35,643000,15.55,667,122,64,186,4.46,46,538000,36,"The American Lawyer, May 18, 2021",
60,56,"Fried, Frank, Harris, Shriver & Jacobson",780300000,1427000,24,419171000,3622000,19,2.54,24,2957000,20,42159000,15,844000,11.85,547,116,40,156,3.73,54,767000,18,"The American Lawyer, May 18, 2021",
61,57,Hunton Andrews Kurth,743100000,882000,91,241273000,1346000,89,1.53,95,1008000,77,115794000,96,424000,23.58,842,179,175,354,3.7,32,287000,115,"The American Lawyer, May 18, 2021",Fiscal year ends March 31. Results are projected in order to meet The Am Law 100's publishing deadline.
62,62,Pillsbury Winthrop Shaw Pittman,723452000,1113000,54,246520000,1957000,57,1.76,71,1296000,60,125551000,47,572000,17.48,650,126,161,287,4.16,34,379000,71,"The American Lawyer, May 18, 2021",
63,60,Seyfarth Shaw,717032000,807000,111,265596000,1333000,91,1.65,83,813000,105,80107000,113,389000,25.71,888,199,226,425,3.46,37,299000,107,"The American Lawyer, May 18, 2021",
64,58,Baker Botts,710770000,989000,70,304148000,1848000,64,1.87,60,1285000,62,60671000,62,508000,19.69,719,165,119,284,3.37,43,423000,61,"The American Lawyer, May 18, 2021",
65,64,Venable,681864000,915000,78,214000000,1204000,106,1.32,116,865000,98,66369000,121,376000,26.6,745,178,147,324,3.19,31,287000,115,"The American Lawyer, May 18, 2021",
66,65,Lewis Brisbois Bisgaard & Smith,676823000,434000,195,164500000,1192000,107,2.75,17,418000,186,210000000,184,240000,41.67,1560,138,757,895,10.3,24,105000,194,"The American Lawyer, May 18, 2021",
67,63,Katten Muchin Rosenman,646601000,1009000,68,238189000,1906000,59,1.89,58,1097000,70,93322000,57,517000,19.34,641,125,177,302,4.13,37,372000,73,"The American Lawyer, May 18, 2021",
68,67,Polsinelli,618322000,708000,135,177497000,1106000,111,1.56,90,608000,141,143401000,123,367000,27.25,874,161,367,528,4.44,29,203000,170,"The American Lawyer, May 18, 2021",
69,66,Littler Mendelson,613640000,578000,174,220910000,570000,187,0.99,184,510000,167,23163000,187,230000,43.48,1061,387,91,479,1.74,36,208000,166,"The American Lawyer, May 18, 2021",
70,69,Fox Rothschild,584000000,667000,142,197971000,802000,147,1.2,142,685000,126,43380000,165,276000,36.23,875,247,105,352,2.55,34,226000,152,"The American Lawyer, May 18, 2021",Fiscal year ends March 31. Results are projected in order to meet The Am Law 100's publishing deadline.
71,68,Nelson Mullins Riley & Scarborough,577075000,773000,119,225137000,1324000,92,1.71,75,754000,115,106995000,87,445000,22.47,746,170,270,440,3.39,39,302000,105,"The American Lawyer, May 18, 2021",
72,82,Fenwick & West,543079000,1462000,20,250401000,2846000,35,1.95,55,2495000,24,17295000,28,720000,13.89,372,88,19,107,3.22,46,674000,25,"The American Lawyer, May 18, 2021",
73,72,"Ogletree, Deakins, Nash, Smoak & Stewart",537559000,610000,163,171014000,903000,138,1.48,100,597000,144,62451000,173,265000,37.74,881,189,202,391,3.65,32,194000,174,"The American Lawyer, May 18, 2021",
74,73,Cozen O'Connor,530875000,775000,118,183691000,968000,127,1.25,133,704000,123,65947000,125,364000,27.47,685,190,165,354,2.61,35,268000,129,"The American Lawyer, May 18, 2021",
75,74,Duane Morris,526230000,745000,125,145602000,1081000,113,1.45,104,660000,131,94446000,138,340000,29.41,706,135,229,364,4.24,28,206000,168,"The American Lawyer, May 18, 2021",
76,77,Jackson Lewis,518243000,579000,173,186952000,685000,165,1.18,146,520000,161,52085000,171,267000,37.45,895,273,187,460,2.28,36,209000,165,"The American Lawyer, May 18, 2021",
