2022 Am Law 100 Rank (FY:2021),2021 Am Law 100 Rank (FY:2020),Firm Name,Location,Gross Revenue,"Net 
Operating
Income",Revenue per Lawyer (RPL),2022 Rank By RPL (FY:2021),2021 Rank By RPL (FY:2020),Profits Per Lawyer (PPL),2022 Rank By PPL (FY:2021),2021 Rank By PPL (FY:2020),Profits Per Equity Partner (PPP),2022 Rank By PPP (FY:2021),2021 Rank By PPP (FY:2020),Profitability Index (API),2022 Rank By API (FY:2021),Profit Margin,"Compensation Average, 
All Partners (CAP)",2022 Rank By CAP (FY:2021),"Compensation 
Non-Equity Partners",Value per Lawyer (VPL) ,2022 Rank By VPL (FY:2021),Lawyers Needed per $10 Million,Cost Per Lawyer (CPL),2022 Rank by CPL (FY:2021),2021 Rank by CPL (FY:2020),Total Personnel,Total Number of Lawyers,Total  Number of Partners,Total Number of Equity Partners,Number of Non-Equity Partners,Leverage,Percentage of Lawyers in US,Total Number of Offices,Source,Notes
55,60,"Fried, Frank, Harris, Shriver & Jacobson",New York,951300000,518633000,1636000,17,20,892000,15,15,4252000,21,18,2.6,27,55,3488000,19,54609000,986000,15,10.14,744143,38,40,922,581,164,122,42,3.77,0.7075,5,"The American Lawyer, April 26, 2022",
56,59,Vinson & Elkins,Houston,912337000,425898000,1318000,40,37,615000,33,33,3508000,31,29,2.66,25,47,2806000,26,77271000,727000,34,13.76,702652,43,47,1272,692,179,121,58,4.7,0.8945,12,"The American Lawyer, April 26, 2022",
57,54,O'Melveny & Myers,Los Angeles,911450000,457262000,1360000,38,32,682000,29,27,2706000,42,38,1.99,49,50,2603000,29,16503000,707000,35,14.14,677893,46,46,1314,670,182,169,13,2.96,0.909,17,"The American Lawyer, April 26, 2022",
58,52,Bryan Cave Leighton Paisner,International,878433000,242475000,701000,89,89,194000,96,96,1080000,87,92,1.54,74,28,724000,89,113202000,284000,94,35.21,507800,85,85,2632,1252,491,225,267,4.58,0.5077,30,"The American Lawyer, April 26, 2022",
59,57,Baker & Hostetler,National,836048000,218563000,897000,74,68,234000,88,85,1780000,61,62,1.98,53,26,971000,71,153378000,399000,79,25.06,662360,50,41,1675,932,383,123,260,6.59,1,17,"The American Lawyer, April 26, 2022",
60,61,Hunton Andrews Kurth,National,830041000,292471000,1033000,57,67,364000,61,71,1601000,67,69,1.55,72,35,1225000,58,118090000,511000,59,19.57,669260,49,54,1541,803,335,183,152,3.4,0.9234,21,"The American Lawyer, April 26, 2022",
61,58,"Fragomen, Del Rey, Bernsen & Loewy",National,805682000,156927000,1185000,49,29,231000,90,60,2768000,41,23,2.34,35,19,1562000,46,49788000,304000,91,32.89,954473,4,3,4743,680,132,57,76,10.99,0.7206,48,"The American Lawyer, April 26, 2022",
62,63,Seyfarth Shaw,National,786596000,298892000,881000,76,78,335000,68,67,1489000,71,70,1.69,68,38,893000,76,83177000,428000,76,23.36,546080,79,78,1873,893,428,201,227,3.45,0.9355,16,"The American Lawyer, April 26, 2022",
63,62,Pillsbury Winthrop Shaw Pittman,National,781406000,275813000,1200000,47,45,424000,51,50,2105000,50,48,1.75,64,35,1404000,51,136865000,634000,43,15.77,776641,27,24,1289,651,294,131,163,3.97,0.9339,18,"The American Lawyer, April 26, 2022",
64,72,Fenwick & West,"Mountain View, California",723259000,356306000,1692000,13,17,834000,18,22,3743000,25,32,2.21,40,49,3137000,21,26154000,895000,18,11.17,858450,11,13,NA,427,122,95,27,3.49,0.9893,8,"The American Lawyer, April 26, 2022",
65,64,Baker Botts,Houston,723228000,272241000,1074000,54,55,404000,54,44,2032000,54,55,1.89,58,38,1356000,52,85112000,531000,57,18.83,669945,48,63,1273,673,263,134,130,4.03,0.8712,13,"The American Lawyer, April 26, 2022",
66,66,Lewis Brisbois Bisgaard & Smith,National,722500000,181500000,448000,100,100,113000,99,99,1226000,81,77,2.74,24,25,425000,99,215000000,246000,98,40.65,335400,100,99,3168,1613,932,148,784,9.9,1,54,"The American Lawyer, April 26, 2022",
67,65,Venable,National,717018000,226000000,965000,65,59,304000,75,71,1235000,80,76,1.28,90,32,881000,77,70183000,398000,80,25.13,660503,51,49,1451,743,336,183,153,3.06,1,9,"The American Lawyer, April 26, 2022",
68,67,Katten Muchin Rosenman,National,713854000,241718000,1132000,52,54,383000,57,51,2006000,55,50,1.77,63,34,1167000,60,123238000,579000,48,17.27,748650,37,45,1137,631,313,120,192,4.23,0.94,9,"The American Lawyer, April 26, 2022",
